,link,title,year,synopsis
82,/wiki/Bad_Papa,Bad Papa,2018,"Ji-cheol is an incompetent husband and dad. He was a detective who got suspended for allegedly taking a bribe. He can’t come up with their living expenses, let alone the rent. On top of that, his daughter gets into trouble and he has to come up with the settlement money. Cornered, Ji-cheol makes a dangerous decision. Having been a boxing champion in the past, he decides to participate in an illegal boxing match and take the prize money.
"
83,"/wiki/Bad_Thief,_Good_Thief","Bad Thief, Good Thief",2017,"The story of the descendants of the Korean activists during the Japanese colonial rule who became the important figures of the history. They were unaware of their identity as it will harm their lives.
"
84,"/wiki/Bad_Woman,_Good_Woman","Bad Woman, Good Woman",2007,"Se-young is (Choi Jin-sil) is a devoted wife and mother who greatly values her family and home life. She loves her doctor husband Geon-woo (Lee Jae-ryong) very deeply, and affectionately takes care of her old mother-in-law who is afflicted with dementia, as well as her daughter whom she did not give birth to. But unbeknownst to her, for the past six years Geon-woo has been having an affair with his first love, Seo-kyung (Sung Hyun-ah), who herself is married to Tae-hyun (Jeon No-min). Things come to a head when Geon-woo and Seo-kyung take their families to Saipan for an international medical seminar. Se-young and Tae-hyun are looking forward to a second honeymoon with their respective spouses, not knowing that Geon-woo and Seo-kyung are secretly meeting for trysts. When Se-young discovers her husband's infidelity, her world goes to pieces.
"
85,/wiki/Ballad_of_Seodong,Ballad of Seodong,2005–06,"Seodong is just a commoner, a technician who grew up in Baekje's prestigious science and technology institute Taehaksa, but his life is on the brink of extraordinary change. He meets and falls for Princess Seonhwa of the rival kingdom Silla, and his love for her transcends social position. Seodong also carries a secret that could alter the fate of the Baekje kingdom, but his rival Sataek Giru plots with Buyeo Seon to disrupt his plans.
"
86,/wiki/Band_of_Sisters_(TV_series),Band of Sisters (TV series),2017,"Kang Ha-ri (Kim Ju-hyeon), with her bright personality, works part-time at a stationery store and a nail shop. Min Deul-rae (Jang Seo-hee) was a popular actress, but she isn't so popular these days. Kim Eun-hyang (Oh Yoon-ah) worked as a secretary prior to the birth of her daughter, but she now focuses on raising her. These three women lost their most beloved (Ha-ri's fiancé, Dal-rae's mother and Eun-hyang's daughter) during a singular accident cause by Yang Dal-hee (who murdered and impersonated a rich heiress from the States, Sera Park). Even though they are not related, they rely on each other to get through the tough time and reveal the truth. As the truth unravels, this web of lies draw in many other seemingly innocent by-standers. This new sisterhood must now decided whether revenge is worth the collateral damage.
"
87,/wiki/Banjun_Drama,Banjun Drama,2004–06,
88,/wiki/Basketball_(TV_series),Basketball (TV series),2013,"Set during the turbulent years of the Japanese occupation until independence, and a few years before the division of Korea into North and South, the story is about aspiring basketball players from various background and their life. The drama follows the loves, conflicts, unity, and emotional victory of young athletes who cling to the sport as the bright spot in the darkness of their times.
"
89,/wiki/Be_Melodramatic,Be Melodramatic,2019,"A romantic comedy that depicts the daily lives of 30-year-old best friends Lim Jin-joo, Lee Eun-jung and Hwang Han-joo.
"
90,/wiki/Be_My_Dream_Family,Be My Dream Family,2021,"The story of the series revolves around two families Geumgane and Hangane from different cultural backgrounds. They meet when their parents remarry in the twilight of life, and they become one family. The series follows the conflict, understanding and harmony of the extended family, showing meaning of a true family.
"
91,/wiki/Be_Positive,Be Positive,2016,"A story about Hwan-dong (Do Kyung-soo), a film major who is preparing for his graduation project as a movie director. His script wins a grand prize, but he faces difficulty after difficulty while trying to finalize the film. He asks his ex-girlfriend Hye-jung (Chae Seo-jin) to play the main role in his production. She is understandably surprised at his bold request but in any case, she agrees. He completes his production with success.
"
92,"/wiki/Be_Strong,_Geum-soon!","Be Strong, Geum-soon!",2005,"The drama starts off with Geum-soon in the midst of a hairdressing exam in a hairdressing school, but failed after suffering a high tide in her bladder. Geum-soon later married Song-hwan, who died in a car accident within days of their marriage. She later gave birth to a boy, Hwi-seong and lived with her in-laws.
"
93,/wiki/Beating_Again,Beating Again,2015,"Kang Min-ho (Jung Kyung-ho) is a cold-blooded corporate raider who takes no prisoners. He is a scoundrel investment banker for Gold Investment, seemingly the world's largest financial service firm. As a cynical, self-defensive, suspicious sociopath, he wears down people with his tenacity and takes advantage of them with his delusions of grandeur. However, Min-ho has his own story of how he became evil - it was because of his uncle's betrayal. His father was overthrown by his uncle and it caused his family to hit bottom. As Min-ho vows to get revenge, he meets Soon-jung (Kim So-yeon), the daughter of his father's former secretary who betrayed him and who now works for his uncle. One day, he has a heart attack and is taken to a hospital. He miraculously survives his heart attack after undergoing a heart transplant. His heart is actually from Dong-wook (Jin Goo), a young detective and Soon-jung's fiancé, who suffered from brain damage from a mysterious car accident. After receiving a new life thanks to the new heart, he is no longer the cold and callous person that he has been and undergoes a profound change to his personality, talking differently and warming up people. But he still pursues his plan to get revenge on his uncle even though his emotions get in the way at times. He gradually learns the meaning of happiness when he finds Soon-jung, whom he wants to cherish and protect. His heart becomes tender and his eyes swell with tears when as he works with her. He falls in love with her without realizing it.
"
94,/wiki/Beating_Heart_(TV_series),Beating Heart (TV series),2005,
95,/wiki/Beautiful_Days_(TV_series),Beautiful Days (TV series),2001,"Similar to its drama contemporaries, Beautiful Days involves conflicts in family relationships, as well as a love triangle.
"
96,/wiki/Beautiful_Gong_Shim,Beautiful Gong Shim,2016,"Gong Shim (Bang Minah) always feels over-shadowed by her older sister Gong Mi (Seo Hyo-rim) due to the way the people around her treat the siblings. The beautiful Gong Mi, who works at a top-notch law firm, becomes the breadwinner of the family, while Gong Shim, considered to be ugly and awkward, is jobless. Gong Shim had to use all of her money to rent a room on the roof top of the rented-house her family is living in, as her previous bedroom is being used as Gong Mi's walk-in closet.
"
97,"/wiki/Beautiful_Love,_Wonderful_Life","Beautiful Love, Wonderful Life",2019–20,"This is a story about love and deception.  The deceptions come in every form - outright lies, obfuscations, failure to speak up, misleading silence, misdirection, rampant insincerity. Against this tidal wave, the main characters fight to find happiness. Their battles never fail to engage.
"
98,/wiki/Beautiful_World_(TV_series),Beautiful World (TV series),2019,"The series follows the story of a boy who becomes critically injured due to an incident of school violence and his family who seeks the truth and fights for justice in his name.
"
99,/wiki/Because_This_Is_My_First_Life,Because This Is My First Life,2017,"IT employee and socially awkward Nam Se-hee (Lee Min-ki) marries homeless writer Yoon Ji-ho (Jung So-min) by signing a contract of two years. Both parties agree to the terms and conditions of being just landlord and tenant. They plan to share the flat based on common goals and values, but without any feelings involved. Things don't go as planned since the housemates fall prey to their personal trauma, social expectations and familial interventions. The show also follows the lives of Ji-Ho and Nam Se-hee's friends and their different perspectives on love and marriage.
"
100,/wiki/Becky%27s_Back,Becky's Back,2016,"Shin Ok-hee, a frequent runaway and borderline delinquent, reluctantly relocates with her parents to their hometown of Seomwoldo, an island in the middle of nowhere. Her mother Yang Baek-hee (Becky) had left her hometown, eighteen year previously, as an unwed mother and under a cloud of scandal, in Seomwoldo Ok-hee discovers that she has more in common with her mother than she knew, and encounters three men all of whom believe themselves to be her biological father. In her attempts to discover her parentage Ok-hee unlocks secrets that allow lives and loves to heal.
"
101,/wiki/Becoming_a_Billionaire,Becoming a Billionaire,2010,"Choi Seok-bong believes he is the son of a billionaire, from a one-night stand with his mother.  While working as a bellboy at a luxury hotel, Seok-bong practices the qualities he thinks a billionaire's heir would have; all these efforts are for the day he meets his birth father. But one day, Seok-bong is diagnosed with breast cancer, which only has a 50 percent survival rate. Seok-bong doesn't have enough money for treatments, and finds it absolutely ridiculous that a billionaire's heir would die because he has no money. Finding his biological father may be Seok-bong's only hope. So he turns for help to Lee Shin-mi, the heiress of Ohsung Group and a notorious penny-pincher.
"
